algorithm,episodes,operational_return_mean,operational_return_std,sla_violations_demand_intervals_mean,reroutes_per_hour_mean,max_utilization_mean,delivered_ratio_mean,te_reversals_mean,protected_disconnection_demand_intervals_mean,unprotected_disconnection_demand_intervals_mean,invalid_action_attempts_total,mask_disagreements_total,solver_convergence_failures_total,wall_time_seconds_total
maskable_ppo,35,13.452895299283881,150.4376710150972,207.5142857142857,2.142891156462585,1.041328659964088,0.9494748111961351,0.7142857142857143,3.5714285714285716,10.714285714285714,0,0,0,20.92886149988044
masked_bandit,35,22.653518511026295,153.57973014886826,162.0,1.8597278911564628,1.0372130138395692,0.9531983608100203,1.2,3.5714285714285716,10.714285714285714,0,0,0,15.227666899561882
static,35,-94.50980817740087,80.44872184222173,341.45714285714286,0.37142857142857144,1.3837347117563468,0.9047909471476598,0.0,3.5714285714285716,10.714285714285714,0,0,0,12.081406600074843
greedy,35,6.466873276017535,133.6095430984287,185.0857142857143,4.6021768707483,1.0592732425454352,0.949738862035063,11.485714285714286,3.5714285714285716,10.714285714285714,0,0,0,10.647217199555598
cspf,35,-24.30820741362329,132.4224782636637,242.2,0.645,1.1824426868288225,0.9374258116815127,0.11428571428571428,3.5714285714285716,10.714285714285714,0,0,0,13.114824199816212
