algorithm,scenario,seed,episode_seed,episode_length,truncated,terminated,operational_return,reward_components,reward_component_sum_exact,offered_gbit_total,delivered_gbit_total,delivered_ratio_mean,sla_violations_demand_intervals,protected_disconnection_demand_intervals,unprotected_disconnection_demand_intervals,max_utilization_peak,max_utilization_mean,link_utilization_mean,congested_link_intervals,overload_ratio_mean,delay_ms_mean,delay_ms_max,loss_ratio_mean,accepted_te_changes,reroutes_per_hour,te_reversals,flaps_per_demand,moved_mbps_total,dwell_active_demand_intervals,dwell_remaining_mean,rejected_te_requests,frr_changes,frr_disconnections,recovery_restorations,action_distribution,noop_frequency,invalid_action_attempts,mask_disagreements,solver_iterations_mean,solver_iterations_max,solver_convergence_failures,protected_safety_failures,mean_decision_time_ms,mean_mask_time_ms,wall_time_seconds,resolved_device
maskable_ppo,full_day,101,101,288,True,False,278.8511192790722,"{'delivery': 564.7936548280582, 'protected_disconnect': 0.0, 'unprotected_disconnect': 0.0, 'sla_severity': -17.40401792038929, 'max_util': -265.8077755654639, 'overload': -1.144693686376616, 'potential': -0.04475918928998769, 'move_fixed': -0.72, 'move_volume': -0.14700347318052548, 'move_divergence': -0.6742857142857143, 'reversal': 0.0, 'invalid': 0.0}",True,131796.47709213276,128829.14448991508,0.9805445396320454,265,0,0,1.5932490912375636,0.8993324602678242,0.1425820590482218,289,0.0006624384759123935,29.714063415620288,228.30405890040078,0.01919823799221058,9,0.375,0,0.0,819.420604874923,18,0.0055147058823529415,0,0,0,0,"{'0': 279, '7': 1, '14': 1, '18': 1, '23': 1, '34': 1, '52': 1, '55': 1, '58': 1, '68': 1}",0.96875,0,0,9.493055555555555,36,0,0,2.6469003484332156,0.06765243152686809,1.7838178999954835,cuda
maskable_ppo,full_day,102,102,288,True,False,322.07513715178493,"{'delivery': 570.0905964826336, 'protected_disconnect': 0.0, 'unprotected_disconnect': 0.0, 'sla_severity': -16.159511782534356, 'max_util': -228.9409382890225, 'overload': -0.5743055112350777, 'potential': -0.0095718418396387, 'move_fixed': -0.9600000000000001, 'move_volume': -0.1739890490742257, 'move_divergence': -0.897142857142857, 'reversal': -0.3, 'invalid': 0.0}",True,127980.23783177958,126359.27327322446,0.9897406188934611,253,0,0,1.54724019438152,0.8483475434903082,0.1404881858417523,262,0.00033235272640918845,27.505235664263576,249.9643910486355,0.010027261894424688,12,0.5,1,0.058823529411764705,912.5929464915766,24,0.007352941176470588,0,0,0,0,"{'0': 276, '4': 1, '7': 1, '14': 1, '18': 1, '23': 1, '34': 1, '52': 1, '54': 1, '55': 2, '58': 1, '68': 1}",0.9583333333333334,0,0,7.982638888888889,36,0,0,1.9853239549168695,0.06229895370779559,1.394479600014165,cuda
maskable_ppo,full_day,103,103,288,True,False,304.06569783815297,"{'delivery': 569.2346900176508, 'protected_disconnect': 0.0, 'unprotected_disconnect': 0.0, 'sla_severity': -20.745041206463263, 'max_util': -241.42015470749226, 'overload': -0.6290680560971705, 'potential': -0.053669851684980244, 'move_fixed': -0.96, 'move_volume': -0.1639155006173406, 'move_divergence': -0.8971428571428571, 'reversal': -0.3, 'invalid': 0.0}",True,129713.02888522299,127945.32075351171,0.9882546701695326,283,0,0,1.5736607819958492,0.8651264433200603,0.14178287981275295,277,0.00036404401394512186,28.54033420069748,239.8982994229781,0.011425575299659495,12,0.5,1,0.058823529411764705,909.3761871950238,24,0.007352941176470588,0,0,0,0,"{'0': 276, '4': 1, '7': 1, '14': 1, '18': 1, '23': 1, '34': 1, '52': 1, '54': 1, '55': 2, '58': 1, '68': 1}",0.9583333333333334,0,0,8.725694444444445,36,0,0,2.1554972202769327,0.06241874790349458,1.502122199977748,cuda
maskable_ppo,full_day,104,104,288,True,False,313.87323391809775,"{'delivery': 568.70713163776, 'protected_disconnect': 0.0, 'unprotected_disconnect': 0.0, 'sla_severity': -19.144552145077654, 'max_util': -232.76412395245612, 'overload': -0.7115374177993192, 'potential': -0.058941288154014414, 'move_fixed': -0.88, 'move_volume': -0.18045720188941053, 'move_divergence': -0.7942857142857143, 'reversal': -0.3, 'invalid': 0.0}",True,128652.52681452257,126762.57030099483,0.9873387702044444,249,0,0,1.5658376528384113,0.8532980549341169,0.13951750972210625,249,0.0004117693390042357,26.648873697227597,259.3877063379614,0.012346357434935925,11,0.4583333333333333,1,0.058823529411764705,908.0738462841622,22,0.006740196078431373,0,0,0,0,"{'0': 277, '7': 1, '14': 1, '18': 1, '23': 1, '34': 1, '52': 1, '54': 1, '55': 2, '58': 1, '68': 1}",0.9618055555555556,0,0,8.756944444444445,35,0,0,2.3115090205262985,0.06416770419390458,1.5129018001025543,cuda
maskable_ppo,full_day,105,105,288,True,False,350.1006966707613,"{'delivery': 570.8708646706941, 'protected_disconnect': 0.0, 'unprotected_disconnect': 0.0, 'sla_severity': -14.205602050903325, 'max_util': -204.4606306663556, 'overload': -0.5073954993114543, 'potential': -0.016544997840917137, 'move_fixed': -0.72, 'move_volume': -0.18570907123574476, 'move_divergence': -0.6742857142857143, 'reversal': 0.0, 'invalid': 0.0}",True,128245.04234233435,126844.45029065755,0.9910952511643996,220,0,0,1.5488926798446394,0.8199862346859285,0.13865149154716805,227,0.00029363165469412864,25.319116869616714,235.34428283209164,0.008656076360745285,9,0.375,0,0.0,944.3249756246148,18,0.0055147058823529415,0,0,0,0,"{'0': 279, '7': 1, '14': 1, '18': 1, '23': 1, '34': 1, '52': 1, '55': 1, '58': 1, '68': 1}",0.96875,0,0,7.034722222222222,36,0,0,2.0278531260878987,0.0693437456599592,1.3615571999689564,cuda
maskable_ppo,evening_peak,101,101,84,True,False,27.08213041087366,"{'delivery': 164.1560036556438, 'protected_disconnect': 0.0, 'unprotected_disconnect': 0.0, 'sla_severity': -18.763399913746472, 'max_util': -115.6281132919655, 'overload': -0.4746875593754605, 'potential': -0.028957248932378395, 'move_fixed': -0.88, 'move_volume': -0.20442951646465032, 'move_divergence': -0.7942857142857142, 'reversal': -0.3, 'invalid': 0.0}",True,51881.82461700071,50544.38635909567,0.9771190693788321,216,0,0,1.5157859344894573,1.0319016471678153,0.190534117903769,200,0.0009418403955862311,40.48442492221697,253.1782270596436,0.022642118541770697,11,1.5714285714285714,1,0.058823529411764705,1231.4016770625494,22,0.023109243697478993,0,0,0,0,"{'0': 73, '7': 1, '14': 1, '18': 1, '23': 1, '34': 1, '52': 1, '54': 1, '55': 2, '58': 1, '68': 1}",0.8690476190476191,0,0,16.892857142857142,39,0,0,2.4477904773361625,0.06505952166792538,0.605408199946396,cuda
maskable_ppo,evening_peak,102,102,84,True,False,51.800754994000904,"{'delivery': 166.3025300098354, 'protected_disconnect': 0.0, 'unprotected_disconnect': 0.0, 'sla_severity': -9.201053039268833, 'max_util': -102.94614770889741, 'overload': -0.18082984930581317, 'potential': -0.01450340437337927, 'move_fixed': -0.88, 'move_volume': -0.18495529970330563, 'move_divergence': -0.7942857142857142, 'reversal': -0.3, 'invalid': 0.0}",True,49555.60337852391,49033.557244589916,0.989896011963306,130,0,0,1.4617627738793832,0.9758438387241045,0.1831398700459172,122,0.00035878938354328,30.336103266983315,243.89193170851956,0.009945769297275212,11,1.5714285714285714,1,0.058823529411764705,1149.3252271327979,22,0.023109243697478993,0,0,0,0,"{'0': 73, '7': 1, '14': 1, '18': 1, '23': 1, '34': 1, '52': 1, '54': 1, '55': 2, '58': 1, '68': 1}",0.8690476190476191,0,0,11.952380952380953,34,0,0,2.420870237983763,0.06335357431366685,0.4775750000262633,cuda
maskable_ppo,evening_peak,103,103,84,True,False,9.080843201289303,"{'delivery': 162.83549928945934, 'protected_disconnect': 0.0, 'unprotected_disconnect': 0.0, 'sla_severity': -20.475482645690498, 'max_util': -130.27361667174728, 'overload': -0.6543360344069934, 'potential': -0.020134908226816545, 'move_fixed': -0.9600000000000001, 'move_volume': -0.17394297095558614, 'move_divergence': -0.897142857142857, 'reversal': -0.3, 'invalid': 0.0}",True,52731.81382448724,50950.02206024543,0.9692589243420199,228,0,0,1.4858000000000005,1.084217067204455,0.19277791164422575,202,0.0012982857825535581,43.4182257618212,272.4762651310688,0.030315903263796618,12,1.7142857142857142,1,0.058823529411764705,1052.2981270206953,24,0.02521008403361344,0,0,0,0,"{'0': 72, '4': 1, '7': 1, '14': 1, '18': 1, '23': 1, '34': 1, '52': 1, '54': 1, '55': 2, '58': 1, '68': 1}",0.8571428571428571,0,0,18.095238095238095,38,0,0,2.7191047681429024,0.06233929334917948,0.6820987000828609,cuda
maskable_ppo,evening_peak,104,104,84,True,False,15.758034619805464,"{'delivery': 163.8462511567098, 'protected_disconnect': 0.0, 'unprotected_disconnect': 0.0, 'sla_severity': -18.275832521155678, 'max_util': -126.35455874875747, 'overload': -0.5232946417558292, 'potential': -0.008876620095005096, 'move_fixed': -1.12, 'move_volume': -0.18851114799751784, 'move_divergence': -1.017142857142857, 'reversal': -0.6, 'invalid': 0.0}",True,52723.810206831295,51279.500603573935,0.975275304504225,216,0,0,1.5899191559236392,1.0687670026041756,0.1932639004828251,202,0.0010382830193568038,40.513228439206486,281.4589490555971,0.024351792153157345,14,2.0,2,0.11764705882352941,1083.5723889614578,28,0.029411764705882353,0,0,0,0,"{'0': 70, '4': 1, '7': 1, '14': 1, '18': 1, '23': 1, '34': 1, '52': 1, '54': 2, '55': 3, '58': 1, '68': 1}",0.8333333333333334,0,0,17.642857142857142,37,0,0,2.7596131022576067,0.06160119110496626,0.6538135000737384,cuda
maskable_ppo,evening_peak,105,105,84,True,False,34.69138806646467,"{'delivery': 165.32848999548705, 'protected_disconnect': 0.0, 'unprotected_disconnect': 0.0, 'sla_severity': -13.042478792737175, 'max_util': -115.76859219783701, 'overload': -0.31963146056232933, 'potential': 0.03692029844102041, 'move_fixed': -0.72, 'move_volume': -0.14903406204119254, 'move_divergence': -0.6742857142857143, 'reversal': 0.0, 'invalid': 0.0}",True,50169.08640736607,49309.2213973008,0.9840981547350419,145,0,0,1.6248640363365083,1.0281799212706428,0.18337570807837544,119,0.0006341894058776377,32.29390214420796,203.90808440895572,0.015727991866404934,9,1.2857142857142858,0,0.0,898.6801160700165,18,0.018907563025210086,0,0,0,0,"{'0': 75, '7': 1, '14': 1, '18': 1, '23': 1, '34': 1, '52': 1, '55': 1, '58': 1, '68': 1}",0.8928571428571429,0,0,12.392857142857142,36,0,0,2.1547142892987248,0.062127380044243875,0.4731094000162557,cuda
