algorithm,scenario,seed,steps,reward_sum,reward_mean,max_util_peak,max_util_mean,mean_util,util_std_mean,jain_fairness_mean,mean_delay_ms,p95_delay_ms,max_delay_ms,loss_ratio_mean,delivered_ratio_mean,dropped_gbit_total,sla_violation_steps,sla_violations_total,priority_sla_success_mean,congested_link_steps,time_above_80pct,time_above_90pct,time_above_100pct,reroutes_total,flaps_total,frr_events_total,disconnected_steps,recovery_steps,path_changes_per_demand,mean_decision_time_ms,invalid_actions
rl,full_day,101,288,-13.224979328622837,-0.04592006711327374,1.7038534099381881,0.9304108815500156,0.1394596987915408,0.21398482004614663,0.3040955602620412,32.59935788786736,43.96953224528227,213.83591015094134,0.03181069690190701,0.968189303098093,4.797378001285412,114,603,0.892871029331298,351,0.5763888888888888,0.4583333333333333,0.3645833333333333,198,185,0,0,,11.647058823529411,0.5351878486787124,0
rl,full_day,102,288,-26.122556537011008,-0.090703321309066,1.6902240929400927,0.950074008846814,0.14385474934001408,0.21833061044764732,0.3071338161683364,33.218625194939484,47.19470506408348,230.67916961818256,0.025658595793006736,0.9743414042069932,4.256766388253368,124,627,0.8964171018244147,389,0.6631944444444444,0.5034722222222222,0.3958333333333333,197,184,0,0,,11.588235294117647,0.6469177100775091,0
rl,full_day,103,288,-15.925863128409333,-0.055298135862532405,1.5816996143563595,0.9524284023841173,0.14323002384406244,0.21813929634205936,0.3043591590557402,31.008504618613667,44.41725843897456,220.65411135029558,0.020315937075442336,0.9796840629245575,3.0608387174337817,133,592,0.9130502906651188,361,0.6944444444444444,0.5416666666666666,0.3993055555555556,199,186,0,0,,11.705882352941176,0.5911940988880815,0
rl,evening_peak,101,84,-121.41471732987189,-1.445413301546094,1.7397384976778842,1.1588686840184947,0.1759269142069413,0.2657017475239173,0.30597208064375253,44.3233191857135,78.49670616832475,227.1541964578497,0.04410127331698265,0.9558987266830172,2.2866226954241724,70,423,0.7596263958259594,220,0.9523809523809523,0.8809523809523809,0.7738095238095238,60,48,0,0,,3.5294117647058822,0.6243023852307704,0
rl,evening_peak,102,84,-151.2277464816407,-1.8003303152576275,1.9507855772987666,1.235973841783461,0.18808895902017275,0.2863273786707938,0.3041508117012936,55.83235749546999,96.7174124548885,252.8,0.08088520709182323,0.9191147929081767,4.68695290858766,71,503,0.6859763674874325,280,0.9523809523809523,0.8928571428571429,0.8214285714285714,60,48,0,0,,3.5294117647058822,0.6091607182974084,0
rl,evening_peak,103,84,-162.34657986350808,-1.932697379327477,1.8655073919883767,1.2743909806832647,0.18651041848108368,0.28730349954943124,0.2988832314254311,55.12157523565007,96.39338255193337,252.8,0.07814491676909929,0.9218550832309008,4.2304894506008175,76,522,0.6787930887244945,278,1.0,0.9523809523809523,0.8690476190476191,60,48,0,0,,3.5294117647058822,0.6400047651758152,0
