scenario,algorithm,n_seeds,reward_sum_mean,reward_sum_std,reward_sum_ci95,max_util_mean_mean,max_util_mean_std,max_util_mean_ci95,max_util_peak_mean,max_util_peak_std,max_util_peak_ci95,mean_delay_ms_mean,mean_delay_ms_std,mean_delay_ms_ci95,p95_delay_ms_mean,p95_delay_ms_std,p95_delay_ms_ci95,loss_ratio_mean_mean,loss_ratio_mean_std,loss_ratio_mean_ci95,delivered_ratio_mean_mean,delivered_ratio_mean_std,delivered_ratio_mean_ci95,sla_violations_total_mean,sla_violations_total_std,sla_violations_total_ci95,reroutes_total_mean,reroutes_total_std,reroutes_total_ci95,flaps_total_mean,flaps_total_std,flaps_total_ci95,time_above_90pct_mean,time_above_90pct_std,time_above_90pct_ci95,recovery_steps_mean,recovery_steps_std,recovery_steps_ci95,mean_decision_time_ms_mean,mean_decision_time_ms_std,mean_decision_time_ms_ci95
link_failure,rl,5,-76.87167080500792,9.206398723067613,11.43125384754216,1.162412916594566,0.03665461750380114,0.0455127189223994,1.706351055953101,0.1306009110686033,0.1621624494064962,44.84448533096979,1.779242409656403,2.209221244147669,76.74552433496248,2.8855664812005313,3.5829040141302184,0.0446395620835145,0.007407303746592869,0.009197382385904222,0.9553604379164856,0.007407303746592877,0.009197382385904234,231.2,20.042454939452902,24.88599473393987,64.0,0.0,0.0,39.0,1.0,1.241663998203764,0.8533333333333333,0.039791121287711055,0.04940720275111022,26.8,2.16794833886788,2.691863402337901,0.8741280011599883,0.04643268953329498,0.05765379893326512
ood_double_failure,rl,5,-38.08134030114947,9.988661153592268,12.402560944671999,0.8397318974999498,0.02700251015206863,0.033528044716955266,1.3134308650967155,0.18670346407071287,0.23182296967653415,20.064093816544474,1.635776124814305,2.0310843233031894,32.77001264712951,4.534214800563144,5.629971277981916,0.10936395505130356,0.009292142248303107,0.01153771849590615,0.8906360449486964,0.00929214224830309,0.01153771849590613,139.6,10.430723848324238,12.951454277669626,72.6,0.5477225575051661,0.6800873806582556,39.2,0.4472135954999579,0.5552890210395586,0.32,0.032058973436118895,0.03980647313499965,1.0,1.4142135623730951,1.7559780661701656,0.8752359981493403,0.019903570880042486,0.024713547397445565
overload_stress,rl,5,-170.33194705588997,9.275539510913353,11.51710347461766,1.5809216891882616,0.08381238328402625,0.10406681892743036,2.23778886819788,0.14560505890135825,0.18079255959415505,95.24122365073268,8.300115298120309,10.30595434661629,150.46527838065606,15.833014785557388,19.6592844422545,0.17115123742435567,0.015877493986249075,0.019714512664422246,0.8288487625756444,0.01587749398624904,0.0197145126644222,450.4,33.50074626034471,41.596670544429415,48.0,0.0,0.0,32.2,1.9235384061671343,2.38838838809998,0.9958333333333332,0.009316949906249141,0.011568521271657493,,,,0.8983879158525572,0.049846564299886834,0.0618926843253185
