training_root,algorithm,scenario,episodes,operational_return_mean,operational_return_std,delivered_ratio_mean,sla_violations_demand_intervals_mean,max_utilization_mean,loss_ratio_mean,delay_ms_mean,reroutes_per_hour_mean,moved_mbps_total_mean,protected_disconnection_demand_intervals_mean,unprotected_disconnection_demand_intervals_mean
42,maskable_ppo,full_day,5,313.79317697157387,25.99232822548524,0.9873947700127766,254.0,0.8572181473396476,0.012330701796395121,27.545524769485134,0.4416666666666666,898.7577120940601,0.0,0.0
42,maskable_ppo,evening_peak,5,27.682630258486796,16.728640782375813,0.9791294929846849,187.0,1.0377818953942386,0.020596715024480922,37.40917690688718,1.6285714285714286,1083.0555072495033,0.0,0.0
42,maskable_ppo,flash_crowd,5,-43.63836126704202,11.912562587760121,0.931150857199764,256.6,1.2406857850682145,0.06775605090848225,53.93931186874386,2.5199999999999996,1178.4980560964468,0.0,0.0
42,maskable_ppo,link_failure,5,-11.39924638530442,11.628042973229597,0.9658870791547283,176.8,1.1429373294692398,0.03377187672763206,38.73413103967546,2.5599999999999996,1467.8752526119697,0.0,0.0
42,maskable_ppo,deceptive_local_optimum,5,90.0959377051581,8.140718940494976,0.9988812313136144,16.4,0.7461784128654239,0.001098530415225733,18.740431029483542,1.8,623.3523479845524,0.0,0.0
42,maskable_ppo,ood_double_failure,5,-189.89452693166317,7.1568739287751075,0.8956964250220911,163.4,0.8663747246491944,0.1042619540142152,19.863237859529818,2.8,1314.9339604100219,25.0,75.0
42,maskable_ppo,overload_stress,5,-92.46934325622196,10.394776050588353,0.8881838226852861,398.4,1.3981243249626552,0.11087652910077206,87.82604313996829,3.25,1738.6360082186961,0.0,0.0
42,masked_bandit,full_day,5,331.601729591562,24.629614255257813,0.9894622577603742,169.0,0.8389362464723022,0.0103040387373951,23.48437044742902,0.8166666666666668,1640.8396386415784,0.0,0.0
42,masked_bandit,evening_peak,5,38.41242860385087,20.050726672549512,0.9830249070431052,130.0,1.0183293331504193,0.016726177370675242,30.54691637160456,0.9714285714285715,811.878672954095,0.0,0.0
42,masked_bandit,flash_crowd,5,-32.55741633082328,8.804119336763398,0.9408289709333364,196.8,1.2745509178791734,0.058117950518330394,44.89243054290854,2.3600000000000003,1294.4590027481481,0.0,0.0
42,masked_bandit,link_failure,5,-14.855839421820027,11.304368188153758,0.9650983686276436,175.8,1.1469169660675482,0.03455241393245156,36.43754325626976,2.56,953.2385532548147,0.0,0.0
42,masked_bandit,deceptive_local_optimum,5,97.44662647246598,3.902434214055237,0.9998152826687422,3.8,0.7206782200346347,0.00018328415138419031,16.59015412437658,1.08,613.3321981679949,0.0,0.0
42,masked_bandit,ood_double_failure,5,-187.44084849068707,11.97132759238246,0.8976831046081089,159.8,0.8536292260742184,0.10229614712864987,18.86458256919135,3.28,1349.6088499125785,25.0,75.0
42,masked_bandit,overload_stress,5,-74.03205084736439,8.478126628787813,0.8964756340288302,298.8,1.4074501871986878,0.10265341963268651,66.7681367968332,1.95,1199.2575314120936,0.0,0.0
42,static,full_day,5,4.906714127531961,31.978090172146338,0.9602228543232121,752.0,1.101008579992569,0.039231191966598175,30.910812025462427,0.0,0.0,0.0,0.0
42,static,evening_peak,5,-117.25801389439866,14.898958255623018,0.910478710114177,360.8,1.4600658715193462,0.08890121970803691,39.87749814711824,0.0,0.0,0.0,0.0
42,static,flash_crowd,5,-121.50334886015678,13.364768095975919,0.8643356332646153,321.4,1.6346396307723954,0.1343466654198166,48.948076125127,0.0,0.0,0.0,0.0
42,static,link_failure,5,-73.59407193530669,16.54314338022902,0.9234116699447876,261.8,1.3870135464418376,0.07599221310908676,40.39980211743258,1.2,929.3240239501031,0.0,0.0
42,static,deceptive_local_optimum,5,14.468661204162817,9.30394834909294,0.9773713253033437,139.0,1.0256836437943508,0.02241750741755122,27.227016835164484,0.0,0.0,0.0,0.0
42,static,ood_double_failure,5,-222.33324811262992,9.710536453732578,0.8893622713349989,227.6,0.97926994738442,0.110520789875059,22.89151319053515,1.4,495.9513200475255,25.0,75.0
42,static,overload_stress,5,-146.2553497710088,7.698345654618547,0.8083541657484842,327.6,2.0984617623895097,0.19081737264041337,60.207340654199506,0.0,0.0,0.0,0.0
42,greedy,full_day,5,268.1100081959362,25.2109842843767,0.9824492510345605,266.8,0.8722539798021074,0.01721398744037862,25.517678990408022,2.9666666666666663,21801.694755572138,0.0,0.0
42,greedy,evening_peak,5,12.088695371171351,20.138936643845582,0.9736296474016048,167.8,1.062295412261704,0.026080724232141757,33.11468604773664,5.228571428571429,9869.66551875387,0.0,0.0
42,greedy,flash_crowd,5,-50.04081478354603,19.118908042073162,0.9310515405684721,231.6,1.2928836428388162,0.06779652703505172,47.163150199748756,6.640000000000001,10747.216928519038,0.0,0.0
42,greedy,link_failure,5,-12.969457859685619,11.621185295356998,0.970502397861987,171.4,1.119121684600167,0.029100618391080135,36.07803426789883,5.760000000000001,7473.796283484402,0.0,0.0
42,greedy,deceptive_local_optimum,5,90.1869011461926,9.373617625133711,0.9988002611192538,14.4,0.7556780287924771,0.0011755324860189599,17.136777181071295,1.44,1454.2782299912844,0.0,0.0
42,greedy,ood_double_failure,5,-170.71205610274524,1.977884715312763,0.898790858896455,123.4,0.8099069968935133,0.10120396851262584,16.679160602997026,2.2800000000000002,1693.4695453959307,25.0,75.0
42,greedy,overload_stress,5,-91.39516303520055,7.535220752339977,0.8929480773631063,320.2,1.5027729526292597,0.1061832537135495,68.39787083353691,7.9,10599.665980199401,0.0,0.0
42,cspf,full_day,5,221.941225904257,39.51428268927265,0.9823474399150331,367.4,0.9311150409836138,0.01732185713820846,25.503928737355913,0.12499999999999997,887.0586362927224,0.0,0.0
