algorithm,roots,episodes,root_operational_return_mean,root_operational_return_std,episode_operational_return_mean,episode_operational_return_std,delivered_ratio_mean,sla_violations_demand_intervals_mean,protected_disconnection_demand_intervals_mean,unprotected_disconnection_demand_intervals_mean,max_utilization_mean,congested_link_intervals_mean,overload_ratio_mean,delay_ms_mean,loss_ratio_mean,reroutes_per_hour_mean,te_reversals_mean,flaps_per_demand_mean,moved_mbps_total_mean,dwell_active_demand_intervals_mean,frr_changes_mean,frr_disconnections_mean,recovery_restorations_mean,noop_frequency_mean,invalid_action_attempts_total,mask_disagreements_total,solver_convergence_failures_total,protected_safety_failures_total
masked_bandit,3,105,25.741021081477474,3.671023087615891,25.741021081477477,154.10607120316888,0.9537229195819134,159.9047619047619,3.5714285714285716,10.714285714285714,1.030302257789484,125.67619047619047,0.0017077650773140694,34.77341094707559,0.0458808880186511,2.117562358276644,1.4761904761904763,0.08683473389355742,1599.604315722718,23.914285714285715,1.8,0.5714285714285714,0.5714285714285714,0.8235364701436129,0,0,0,0
maskable_ppo,3,105,16.698614351522718,3.5465234976591864,16.698614351522718,154.50444340157077,0.9507385671866978,197.57142857142858,3.5714285714285716,10.714285714285714,1.0318322167239933,138.24761904761905,0.0017985077490803446,38.35358329076912,0.04883190692110859,2.165861678004535,2.361904761904762,0.13893557422969188,1274.1515289186636,24.495238095238093,1.7428571428571429,0.5714285714285714,0.5714285714285714,0.8195115268329555,0,0,0,0
greedy,3,105,6.466873276017533,1.0877919644084146e-15,6.466873276017533,132.31859936383117,0.9497388620350627,185.0857142857143,3.5714285714285716,10.714285714285714,1.059273242545435,127.97142857142858,0.001888112915533318,34.86962258905678,0.0498220874015495,4.602176870748299,11.485714285714286,0.6756302521008403,9091.39817741658,61.48571428571429,1.7714285714285714,0.5714285714285714,0.5714285714285714,0.6164852607709751,0,0,0,0
cspf,3,105,-24.30820741362329,0.0,-24.308207413623293,131.1430040235009,0.9374258116815128,242.2,3.5714285714285716,10.714285714285714,1.1824426868288223,131.25714285714287,0.0025243428478400015,35.657072052395094,0.06210012800393021,0.6449999999999999,0.11428571428571428,0.006722689075630252,629.1212840748509,7.142857142857143,1.7428571428571429,0.5714285714285714,0.5714285714285714,0.94625,0,0,0,0
static,3,105,-94.50980817740087,0.0,-94.50980817740087,79.67142127663196,0.9047909471476596,341.45714285714286,3.5714285714285716,10.714285714285714,1.383734711756347,134.02857142857144,0.0041239627081369945,38.637437013577056,0.0946038514480803,0.37142857142857144,0.0,0.0,203.61076342823264,3.7142857142857144,1.8571428571428572,0.5714285714285714,0.5714285714285714,0.969047619047619,0,0,0,0
