training_root,algorithm,episodes,operational_return_mean,operational_return_std,offered_gbit_total_mean,delivered_gbit_total_mean,delivered_ratio_mean_mean,sla_violations_demand_intervals_mean,protected_disconnection_demand_intervals_mean,unprotected_disconnection_demand_intervals_mean,max_utilization_peak_mean,max_utilization_mean_mean,link_utilization_mean_mean,congested_link_intervals_mean,overload_ratio_mean_mean,delay_ms_mean_mean,delay_ms_max_mean,loss_ratio_mean_mean,accepted_te_changes_mean,reroutes_per_hour_mean,te_reversals_mean,flaps_per_demand_mean,moved_mbps_total_mean,dwell_active_demand_intervals_mean,dwell_remaining_mean_mean,rejected_te_requests_mean,frr_changes_mean,frr_disconnections_mean,recovery_restorations_mean,noop_frequency_mean,solver_iterations_mean_mean,solver_iterations_max_mean,mean_decision_time_ms_mean,mean_mask_time_ms_mean,wall_time_seconds_mean,invalid_action_attempts_total,mask_disagreements_total,solver_convergence_failures_total,protected_safety_failures_total
42,masked_bandit,35,22.653518511026295,153.5797301488683,50137.35260298868,48130.167243877775,0.9531983608100203,162.0,3.5714285714285716,10.714285714285714,1.595540754384785,1.0372130138395692,0.16650191930417332,122.22857142857143,0.0017135438576769235,33.940590586944715,186.5849496137441,0.04640477592451041,11.514285714285714,1.8597278911564628,1.2,0.07058823529411763,1123.2306352987573,22.8,0.027012805122048764,0.0,1.6571428571428573,0.5714285714285714,0.5714285714285714,0.8450226757369615,12.450056689342404,30.114285714285714,1.4010017385530495,0.064705307122907,0.43507619713033946,0,0,0,0
42,maskable_ppo,35,13.452895299283881,150.43767101509718,50137.35260298868,47939.832408871494,0.9494748111961351,207.5142857142857,3.5714285714285716,10.714285714285714,1.5765429135610514,1.041328659964088,0.17559992136140593,154.37142857142857,0.0018385045193733168,40.579693801967615,226.15740720821216,0.0500989082838862,11.914285714285715,2.142891156462585,0.7142857142857143,0.04201680672268907,1186.4441206664644,23.8,0.031478091236494546,0.0,1.7142857142857142,0.5714285714285714,0.5714285714285714,0.8214257369614512,14.89828798185941,34.628571428571426,2.489737304661868,0.06289822676227225,0.5979674714251555,0,0,0,0
42,greedy,35,6.466873276017532,133.6095430984287,50137.35260298868,47845.608180999494,0.949738862035063,185.0857142857143,3.5714285714285716,10.714285714285714,1.8202475509943492,1.0592732425454352,0.16766903473442857,127.97142857142858,0.001888112915533318,34.86962258905679,195.55585122934076,0.04982208740154951,31.428571428571427,4.602176870748299,11.485714285714286,0.6756302521008404,9091.398177416579,61.48571428571429,0.06624799919967983,0.0,1.7714285714285714,0.5714285714285714,0.5714285714285714,0.6164852607709751,12.871989795918369,31.057142857142857,0.04390963418419783,0.06331347101518477,0.3042062057015885,0,0,0,0
42,cspf,35,-24.30820741362329,132.4224782636637,50137.35260298868,47352.607843245765,0.9374258116815127,242.2,3.5714285714285716,10.714285714285714,1.8099951249144404,1.1824426868288225,0.1588855037358015,131.25714285714287,0.002524342847840002,35.6570720523951,173.57447735738288,0.062100128003930215,3.5714285714285716,0.645,0.11428571428571428,0.006722689075630252,629.1212840748508,7.142857142857143,0.009485294117647008,0.0,1.7428571428571429,0.5714285714285714,0.5714285714285714,0.9462499999999999,13.068137755102043,29.742857142857144,0.04818590228087339,0.09041831139599173,0.37470926285189177,0,0,0,0
42,static,35,-94.50980817740087,80.44872184222173,50137.35260298868,45615.44182999065,0.9047909471476598,341.45714285714286,3.5714285714285716,10.714285714285714,2.0985611082606965,1.3837347117563468,0.15080341587736598,134.02857142857144,0.004123962708136994,38.637437013577056,168.10142813509336,0.09460385144808028,1.8571428571428572,0.37142857142857144,0.0,0.0,203.61076342823267,3.7142857142857144,0.005462184873949573,0.0,1.8571428571428572,0.5714285714285714,0.5714285714285714,0.9690476190476192,15.917604875283446,33.02857142857143,0.0060591200236473535,0.06307764706335685,0.34518304571642405,0,0,0,0
271828,masked_bandit,35,24.76943811100226,157.09993699708232,50137.35260298868,48081.88310339637,0.9520918067894784,162.4857142857143,3.5714285714285716,10.714285714285714,1.5805718158315356,1.0308880140977497,0.172071069710633,134.4857142857143,0.001810687267290803,36.48308264057638,194.01203898440784,0.047511208581937324,15.82857142857143,2.87421768707483,2.657142857142857,0.15630252100840333,2397.106419248775,31.37142857142857,0.04199229691876747,0.0,1.9714285714285715,0.5714285714285714,0.5714285714285714,0.7604818594104308,12.434331065759636,30.942857142857143,1.285706670274282,0.0625705576490963,0.39663266855558116,0,0,0,0
271828,maskable_ppo,35,20.484067180808296,159.72339758165333,50137.35260298868,48082.65828012901,0.9523718681148555,189.97142857142856,3.5714285714285716,10.714285714285714,1.6012449410202656,1.0148347938903401,0.17395950234800187,126.94285714285714,0.0017318207399995944,37.09737100522453,176.0641698138322,0.04719435043180404,17.942857142857143,3.0314625850340136,6.371428571428571,0.3747899159663866,1684.5699136676167,35.457142857142856,0.04399209683873545,0.0,1.8,0.5714285714285714,0.5714285714285714,0.7473781179138322,12.930141723356007,27.428571428571427,2.289852082501392,0.0609355777092362,0.518300660001114,0,0,0,0
271828,greedy,35,6.466873276017532,133.6095430984287,50137.35260298868,47845.608180999494,0.949738862035063,185.0857142857143,3.5714285714285716,10.714285714285714,1.8202475509943492,1.0592732425454352,0.16766903473442857,127.97142857142858,0.001888112915533318,34.86962258905679,195.55585122934076,0.04982208740154951,31.428571428571427,4.602176870748299,11.485714285714286,0.6756302521008404,9091.398177416579,61.48571428571429,0.06624799919967983,0.0,1.7714285714285714,0.5714285714285714,0.5714285714285714,0.6164852607709751,12.871989795918369,31.057142857142857,0.04130025379378988,0.0606611242297141,0.29645606284362397,0,0,0,0
271828,cspf,35,-24.30820741362329,132.4224782636637,50137.35260298868,47352.607843245765,0.9374258116815127,242.2,3.5714285714285716,10.714285714285714,1.8099951249144404,1.1824426868288225,0.1588855037358015,131.25714285714287,0.002524342847840002,35.6570720523951,173.57447735738288,0.062100128003930215,3.5714285714285716,0.645,0.11428571428571428,0.006722689075630252,629.1212840748508,7.142857142857143,0.009485294117647008,0.0,1.7428571428571429,0.5714285714285714,0.5714285714285714,0.9462499999999999,13.068137755102043,29.742857142857144,0.033846952269857386,0.06119352884073485,0.2831335742991152,0,0,0,0
271828,static,35,-94.50980817740087,80.44872184222173,50137.35260298868,45615.44182999065,0.9047909471476598,341.45714285714286,3.5714285714285716,10.714285714285714,2.0985611082606965,1.3837347117563468,0.15080341587736598,134.02857142857144,0.004123962708136994,38.637437013577056,168.10142813509336,0.09460385144808028,1.8571428571428572,0.37142857142857144,0.0,0.0,203.61076342823267,3.7142857142857144,0.005462184873949573,0.0,1.8571428571428572,0.5714285714285714,0.5714285714285714,0.9690476190476192,15.917604875283446,33.02857142857143,0.005487942987104697,0.061251308321936926,0.3341934999949964,0,0,0,0
