training_root,algorithm,action,count,frequency,is_noop
314159,maskable_ppo,0,3051,0.9245454545454546,True
314159,maskable_ppo,3,5,0.0015151515151515152,False
314159,maskable_ppo,8,40,0.012121212121212121,False
314159,maskable_ppo,12,16,0.0048484848484848485,False
314159,maskable_ppo,14,40,0.012121212121212121,False
314159,maskable_ppo,18,40,0.012121212121212121,False
314159,maskable_ppo,23,15,0.004545454545454545,False
314159,maskable_ppo,29,5,0.0015151515151515152,False
314159,maskable_ppo,33,5,0.0015151515151515152,False
314159,maskable_ppo,52,35,0.010606060606060607,False
314159,maskable_ppo,58,32,0.009696969696969697,False
314159,maskable_ppo,62,16,0.0048484848484848485,False
314159,masked_bandit,0,2989,0.9057575757575758,True
314159,masked_bandit,2,10,0.0030303030303030303,False
314159,masked_bandit,8,33,0.01,False
314159,masked_bandit,11,6,0.0018181818181818182,False
314159,masked_bandit,12,1,0.00030303030303030303,False
314159,masked_bandit,14,36,0.01090909090909091,False
314159,masked_bandit,15,15,0.004545454545454545,False
314159,masked_bandit,18,42,0.012727272727272728,False
314159,masked_bandit,19,3,0.0009090909090909091,False
314159,masked_bandit,23,29,0.008787878787878787,False
314159,masked_bandit,24,1,0.00030303030303030303,False
314159,masked_bandit,25,16,0.0048484848484848485,False
314159,masked_bandit,26,1,0.00030303030303030303,False
314159,masked_bandit,27,6,0.0018181818181818182,False
314159,masked_bandit,28,9,0.0027272727272727275,False
314159,masked_bandit,29,4,0.0012121212121212121,False
314159,masked_bandit,33,5,0.0015151515151515152,False
314159,masked_bandit,44,4,0.0012121212121212121,False
314159,masked_bandit,45,3,0.0009090909090909091,False
314159,masked_bandit,47,6,0.0018181818181818182,False
314159,masked_bandit,50,1,0.00030303030303030303,False
314159,masked_bandit,51,10,0.0030303030303030303,False
314159,masked_bandit,53,13,0.00393939393939394,False
314159,masked_bandit,54,1,0.00030303030303030303,False
314159,masked_bandit,56,16,0.0048484848484848485,False
314159,masked_bandit,58,21,0.006363636363636364,False
314159,masked_bandit,59,7,0.0021212121212121214,False
314159,masked_bandit,61,1,0.00030303030303030303,False
314159,masked_bandit,64,11,0.0033333333333333335,False
314159,static,0,3235,0.9803030303030303,True
314159,static,1,5,0.0015151515151515152,False
314159,static,5,5,0.0015151515151515152,False
314159,static,9,5,0.0015151515151515152,False
314159,static,13,5,0.0015151515151515152,False
314159,static,17,10,0.0030303030303030303,False
314159,static,25,10,0.0030303030303030303,False
314159,static,29,5,0.0015151515151515152,False
314159,static,33,5,0.0015151515151515152,False
314159,static,53,5,0.0015151515151515152,False
314159,static,61,5,0.0015151515151515152,False
314159,static,65,5,0.0015151515151515152,False
314159,greedy,0,2200,0.6666666666666666,True
314159,greedy,5,7,0.0021212121212121214,False
314159,greedy,6,12,0.0036363636363636364,False
314159,greedy,7,3,0.0009090909090909091,False
314159,greedy,8,37,0.011212121212121211,False
314159,greedy,12,1,0.00030303030303030303,False
314159,greedy,13,72,0.02181818181818182,False
314159,greedy,14,104,0.03151515151515152,False
