training_root,algorithm,checkpoint,checkpoint_transition,mean_operational_return,valid,integrity_failure,payload_sha256,selected
42,maskable_ppo,runs\v2\seed42_maskable_ppo_final\checkpoints\checkpoint_000050000.zip,50000,-8.50816686955697,True,,41e69675154e4da4f97eb26639b913ce9b4fc08b90fbf82479bdd3bc9cabfa45,False
42,maskable_ppo,runs\v2\seed42_maskable_ppo_final\checkpoints\checkpoint_000100000.zip,100000,-2.867803924193309,True,,0b6a82bfcd07416efd61b1ef80a4656ae1e4778ddc221a74f4a2c60a1d16c64e,False
42,maskable_ppo,runs\v2\seed42_maskable_ppo_final\checkpoints\checkpoint_000150000.zip,150000,10.33444240597795,True,,1af597c2201a451b70c189d25b37f3c05109f711a879c7fb2d4f0d9e42eff2d1,False
42,maskable_ppo,runs\v2\seed42_maskable_ppo_final\checkpoints\checkpoint_000200000.zip,200000,-16.79367745243802,True,,8f44f81a5f713509234bcbea2a5ab2dd2cc01c7a4709d3d670dc0ee21a3e8f5d,False
42,maskable_ppo,runs\v2\seed42_maskable_ppo_final\checkpoints\checkpoint_000250000.zip,250000,13.45289529928388,True,,d34cc77ded05b064fa2a39dbe5c5ccc3126c9e6cf85e36c1b507127c987f5676,True
42,maskable_ppo,runs\v2\seed42_maskable_ppo_final\checkpoints\checkpoint_000300000.zip,300000,2.8562698125217025,True,,5a008d06947385099e16dc6c33f7a6fd7fbd5c8e8f0bb080797a2954bbf57b8a,False
42,maskable_ppo,runs\v2\seed42_maskable_ppo_final\checkpoints\checkpoint_000350000.zip,350000,-8.754230731399398,True,,7331b924e57c7c8f83abf59c55f3bd8481b7932f8a38ae137e7dcbd8399b25ae,False
42,maskable_ppo,runs\v2\seed42_maskable_ppo_final\checkpoints\checkpoint_000400000.zip,400000,-17.799957751520864,True,,fc9cfdf45a734bac6b6c4010cc4e7e71bff35a3a8b9648149b8b364e3a742033,False
42,masked_bandit,runs\v2\seed42_masked_bandit_final\checkpoints\checkpoint_000050000.pt,50000,-16.907842922047,True,,09ba54acaca16d90811463785094d1ddee04a943f1c5372d83cb716d1529f3a5,False
42,masked_bandit,runs\v2\seed42_masked_bandit_final\checkpoints\checkpoint_000100000.pt,100000,-21.726290888216813,True,,68e76479292c8cdd8dd7e28e3cf329171a144a2bbe8c38b258720c5baff3ee95,False
42,masked_bandit,runs\v2\seed42_masked_bandit_final\checkpoints\checkpoint_000150000.pt,150000,-13.83625467296852,True,,65a9c54df47054cd69b747e8fbd441fc16392f3bac7bc73e85c260c3f13be5a1,False
42,masked_bandit,runs\v2\seed42_masked_bandit_final\checkpoints\checkpoint_000200000.pt,200000,6.312901699841373,True,,17268daf266dd828db5760fa00ce211719bb4652ab058f39078524e514be4c94,False
42,masked_bandit,runs\v2\seed42_masked_bandit_final\checkpoints\checkpoint_000250000.pt,250000,22.65351851102629,True,,c15097700eac518ee259cba67e34e4fba1716881ab3dd912188b55da0c79bf49,True
42,masked_bandit,runs\v2\seed42_masked_bandit_final\checkpoints\checkpoint_000300000.pt,300000,21.23681223835154,True,,4e26fa430c5272b40a92189cef3f006ac390d631c5318047a578cc029d8d8309,False
42,masked_bandit,runs\v2\seed42_masked_bandit_final\checkpoints\checkpoint_000350000.pt,350000,16.56642213848642,True,,8919f203bb446f63d4e05881a05e63e6f0cf0d789e10d6c4e5180c0fdbe0438d,False
42,masked_bandit,runs\v2\seed42_masked_bandit_final\checkpoints\checkpoint_000400000.pt,400000,18.5235850533516,True,,94aee1342d59d2088f00cd40976c5192d2d1f297985f338589875e7087d0bf78,False
314159,maskable_ppo,runs\v2\seed314159_maskable_ppo_final_r2\checkpoints\checkpoint_000050000.zip,50000,-25.826516371519038,True,,15f7c10b74e3fb309d65c7a0414061ec30c9f458a828d73316eb3cb774f9e5e5,False
314159,maskable_ppo,runs\v2\seed314159_maskable_ppo_final_r2\checkpoints\checkpoint_000100000.zip,100000,-30.00583364969105,True,,dca803d077fa1b53a66dcda6c7e40af814d998ed03c1bb8368aeb43aa9ba1a49,False
314159,maskable_ppo,runs\v2\seed314159_maskable_ppo_final_r2\checkpoints\checkpoint_000150000.zip,150000,12.501907390438324,True,,752929eba34f4a619870495e4bb35b9f604dd4c2e5d5d5621edc9b3897f8de36,False
314159,maskable_ppo,runs\v2\seed314159_maskable_ppo_final_r2\checkpoints\checkpoint_000200000.zip,200000,7.83922038290344,True,,ff26f44f0c8458a8a6ce72a522c49d651caa40c99defe4b8e4468a3becee3555,False
314159,maskable_ppo,runs\v2\seed314159_maskable_ppo_final_r2\checkpoints\checkpoint_000250000.zip,250000,-13.382982025883702,True,,7374e43e3dca36c7248c1956c17f6b1a49c13f658a31854ab93e2d682bf4ebee,False
314159,maskable_ppo,runs\v2\seed314159_maskable_ppo_final_r2\checkpoints\checkpoint_000300000.zip,300000,9.447597891551222,True,,e630a09110feaae89a749ee963626ae8b19e273720f9ded37260fbb4b2ecdd9f,False
314159,maskable_ppo,runs\v2\seed314159_maskable_ppo_final_r2\checkpoints\checkpoint_000350000.zip,350000,16.158880574475976,True,,0af41be78102617b103c3e21ebb0ba26ae251f2626ff50b30c0887fdb1320489,True
314159,maskable_ppo,runs\v2\seed314159_maskable_ppo_final_r2\checkpoints\checkpoint_000400000.zip,400000,15.027309004618038,True,,532d2a8572fdd5665e58f5bf0ea4a3d0fdd9bb434dc1145ed814f472fe99593f,False
314159,masked_bandit,runs\v2\seed314159_masked_bandit_final_r2\checkpoints\checkpoint_000050000.pt,50000,-11.820399520574837,True,,4a1a1f04bc5edbf603ee177a1ef14db8ac8350733717a03418d5a45234a13f8f,False
314159,masked_bandit,runs\v2\seed314159_masked_bandit_final_r2\checkpoints\checkpoint_000100000.pt,100000,11.52149236560702,True,,9f2af7b1ed50fe744a9ad357efeb42d959a51b056fdd2195f8f498b0b532645a,False
314159,masked_bandit,runs\v2\seed314159_masked_bandit_final_r2\checkpoints\checkpoint_000150000.pt,150000,16.638122153577072,True,,629bc98480c708ab9594a9adff3c72ba5333f6042100610255a48ce3037eaea4,False
314159,masked_bandit,runs\v2\seed314159_masked_bandit_final_r2\checkpoints\checkpoint_000200000.pt,200000,23.80539930998109,True,,81c43707db483a487182b52ff31819fb5f7abfc664ec0a37713efe40e9840e85,False
314159,masked_bandit,runs\v2\seed314159_masked_bandit_final_r2\checkpoints\checkpoint_000250000.pt,250000,25.349497430589064,True,,bbf18192d3d11bc9058517c2261d0d86bd4cf10fe84c08af7722be8f43d18610,False
314159,masked_bandit,runs\v2\seed314159_masked_bandit_final_r2\checkpoints\checkpoint_000300000.pt,300000,29.80010662240387,True,,fd474430e9f5ed60d09d82e3d08390151f54c8c0ca10b5abd98fe11d5d2c8433,True
314159,masked_bandit,runs\v2\seed314159_masked_bandit_final_r2\checkpoints\checkpoint_000350000.pt,350000,29.07000508655145,True,,c8eb4693d6aca3c4e13eb8cc9c73730049ad0d0c1269d816f6f44a068620feef,False
314159,masked_bandit,runs\v2\seed314159_masked_bandit_final_r2\checkpoints\checkpoint_000400000.pt,400000,25.94009291713301,True,,4ea1fab0ef0062edcd3f74d61595df07bcbb231e828f498114019c068b77765c,False
271828,maskable_ppo,runs\v2\seed271828_maskable_ppo_final\checkpoints\checkpoint_000050000.zip,50000,-62.49609777023938,True,,54fd2e728ff4800fad8dde86bc55da8ad6f8a01fd252fc3bb95037ebc5ef142d,False
271828,maskable_ppo,runs\v2\seed271828_maskable_ppo_final\checkpoints\checkpoint_000100000.zip,100000,-23.302389936001,True,,7a7d3143a2a7e694ee1b33e6574b82d9996436548c092f07c328b4560a1e1ab8,False
271828,maskable_ppo,runs\v2\seed271828_maskable_ppo_final\checkpoints\checkpoint_000150000.zip,150000,20.484067180808296,True,,40d0f9b7fe92449e6e8bfe2bcb44604ac2a5002c0f2a662dbad6cf70c219fb79,True
271828,maskable_ppo,runs\v2\seed271828_maskable_ppo_final\checkpoints\checkpoint_000200000.zip,200000,-15.355519145313062,True,,eab6f67ce9fab3e6de48f0cd957fdedfa7c8df577e7d080b3a9b4476097c1ab5,False
271828,maskable_ppo,runs\v2\seed271828_maskable_ppo_final\checkpoints\checkpoint_000250000.zip,250000,-7.134288838281914,True,,64509680ee30dea168a23742c4be96f611c69cbfb1c82f643e2d7ee5f62d359c,False
271828,maskable_ppo,runs\v2\seed271828_maskable_ppo_final\checkpoints\checkpoint_000300000.zip,300000,-9.603155099043043,True,,85cda891c8b6b8749418a217c499b8963ff57c787a9c7fff9a389776d64f2ab2,False
271828,maskable_ppo,runs\v2\seed271828_maskable_ppo_final\checkpoints\checkpoint_000350000.zip,350000,-6.8634489017697256,True,,ec642dfe814c53dbbc9e8d53a1dcb2a0accd808ccb84d141c69a334ebf98129a,False
271828,maskable_ppo,runs\v2\seed271828_maskable_ppo_final\checkpoints\checkpoint_000400000.zip,400000,-4.522219623535649,True,,fd6fdbdb3450d77c53540be591658e04079ff18e553e45be8e821f4f0f1edcd6,False
271828,masked_bandit,runs\v2\seed271828_masked_bandit_final\checkpoints\checkpoint_000050000.pt,50000,0.085489652189027,True,,3db013b9c22e95cad7898f697d0731a21e76fb6c3499ac1aca2c43929e57ebc9,False
271828,masked_bandit,runs\v2\seed271828_masked_bandit_final\checkpoints\checkpoint_000100000.pt,100000,-20.90031398200893,True,,d8ce2c9b4f37ddc9fe2c82dfd84f8f3642ff6ec549a8e8627d433adb804a9293,False
271828,masked_bandit,runs\v2\seed271828_masked_bandit_final\checkpoints\checkpoint_000150000.pt,150000,15.584847796295977,True,,b2d40039841df1264ccd92f6c5b5668bf5b19f7d15fc1d835e2ddde277eebf58,False
271828,masked_bandit,runs\v2\seed271828_masked_bandit_final\checkpoints\checkpoint_000200000.pt,200000,20.512732090495103,True,,f11787e64971e33b6756c285230ce07b21210622546d18ae3a98af71f33e66f6,False
271828,masked_bandit,runs\v2\seed271828_masked_bandit_final\checkpoints\checkpoint_000250000.pt,250000,22.008628361911388,True,,833f52d95e6c650bc44eea818a167783834da93bcf9e939343d6bd2a7de550fa,False
271828,masked_bandit,runs\v2\seed271828_masked_bandit_final\checkpoints\checkpoint_000300000.pt,300000,21.98213804367738,True,,527bf689d3cf960ae40004bb19336c10873a0d398a2948bd95ea3b09903caa4d,False
271828,masked_bandit,runs\v2\seed271828_masked_bandit_final\checkpoints\checkpoint_000350000.pt,350000,22.877125715883583,True,,29497eb1da79ce85d3dd8a5de09b1aea722253fbb109b8c1a6a25f8b0a6d0eed,False
271828,masked_bandit,runs\v2\seed271828_masked_bandit_final\checkpoints\checkpoint_000400000.pt,400000,24.769438111002263,True,,d9c31430ad4320ae238f6d3aa833614edc120f7411c5a3e99372c85707116e73,True
